معدلك في الثانوية العامة,التخصص في الثانوية العامة,نوع المدرسة,الوضع الاقتصادي,طبيعة عمل ولي الامر,طبيعة السكن,هل كنت تمتلك جهاز حاسوب,هل يمتلك ولي أمرك وسيلة نقل خاصة,التحصيل العلمي للوالد,التحصيل العلمي للوالدة,نوع الجامعة,هل سكنك قريب من الجامعة,في أي سنة دراسية الان,كليتك؟,معدلك في الجامعة,اين سمعت عن التخصصك الحالي اول مرة ,مشاكل في النظر,مشاكل في السمع,مشاكل جسدية,لا يوجد مشاكل,الرياضة هوايتي,القراءة هوايتي,الكتابة هوايتي,التحليل هوايتي,حل المسائل هوايتي,التكنولوجيا هوايتي,لا يوجد هواية
80-89,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,حكومية,لا,ثالثة,تكنولوجيا المعلومات,جيد جدا,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,0,0,0,0,0,0
70-79,علمي,حكومي,جيد,موظف حكومي,مُلك خاص,نعم,نعم,ماجستير,بكالوريوس,خاصة,لا,ثانية,تخصصات طبية,جيد جدا,من اقاربك,0,0,0,1,0,0,0,0,0,1,0
70-79,علمي,خاصة,جيد جدا,موظف حكومي,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,اولى,تكنولوجيا المعلومات,لا يوجد معدل,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,0,1,1,1,0
70-79,علمي,حكومي,جيد جدا,أعمال حرة,مُلك خاص,نعم,نعم,يقرأ ويكتب,اعدادية,حكومية,لا,ثالثة,تكنولوجيا المعلومات,جيد,عن طريق مواقع التواصل الاجماعي,0,0,0,1,1,1,1,1,0,1,0
70-79,أدبي,حكومي,جيد,موظف خاص,مُلك خاص,لا,نعم,اعدادية,اعدادية,خاصة,نعم,اولى,أعمال,لا يوجد معدل,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,1,0,0,0,0,0
70-79,علمي,حكومي,جيد,موظف حكومي,مُلك خاص,لا,لا,بكالوريوس,اعدادية,خاصة,لا,ثانية,تخصصات طبية,جيد,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,1,0,0,0,0
70-79,صناعي,حكومي,جيد جدا,موظف خاص,مُلك خاص,لا,نعم,ماجستير,بكالوريوس,خاصة,لا,خريج,اقتصاد,جيد,عن طريق مواقع التواصل الاجماعي,0,1,0,0,0,0,0,0,0,1,0
80-89,علمي,حكومي,جيد,أعمال حرة,إيجار,لا,لا,اعدادية,اعدادية,خاصة,لا,ثانية,تكنولوجيا المعلومات,جيد,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,0,0,0,1,0
70-79,علمي,حكومي,ممتاز,أعمال حرة,مُلك خاص,نعم,لا,بكالوريوس,اعدادية,خاصة,نعم,خريج,تكنولوجيا المعلومات,جيد,من اقاربك,1,0,0,0,0,1,0,0,0,0,0
60-69,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,لا,نعم,بكالوريوس,بكالوريوس,خاصة,لا,اولى,آداب,لا يوجد معدل,من اقاربك,0,0,0,1,0,1,0,0,0,0,0
70-79,تكنولوجيا المعلومات,حكومي,جيد,موظف حكومي,إيجار,نعم,لا,بكالوريوس,بكالوريوس,خاصة,لا,خريج,تكنولوجيا المعلومات,جيد,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,0,0,1,0,1,0
60-69,أدبي,حكومي,ضعيف,أعمال حرة,مُلك خاص,لا,نعم,اعدادية,اعدادية,حكومية,لا,اولى,تكنولوجيا المعلومات,جيد,عن طريق البحث عن افضل التخصصات,0,0,0,1,0,0,1,0,0,0,0
80-89,علمي,حكومي,جيد,موظف حكومي,مُلك خاص,لا,لا,بكالوريوس,اعدادية,حكومية,لا,خريج,صيدلة,جيد,من اقاربك,0,0,0,1,0,1,0,0,0,0,0
70-79,أدبي,حكومي,جيد جدا,أعمال حرة,مُلك خاص,نعم,نعم,اعدادية,بكالوريوس,خاصة,لا,خريج,أعمال,ممتاز,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,1,1,1,1,0,0
70-79,علمي,حكومي,جيد جدا,موظف حكومي,إيجار,نعم,نعم,دكتوراة,بكالوريوس,خاصة,لا,ثانية,تكنولوجيا المعلومات,جيد جدا,عن طريق البحث عن افضل التخصصات,1,0,0,0,0,0,0,0,0,1,0
70-79,علمي,حكومي,جيد جدا,أعمال حرة,مُلك خاص,نعم,نعم,بكالوريوس,اعدادية,حكومية,نعم,خريج,علوم,جيد جدا,من صديق,0,0,0,1,1,0,0,0,0,0,0
60-69,إدارة معلوماتية ,حكومي,ضعيف,موظف حكومي,مُلك خاص,لا,لا,اعدادية,بكالوريوس,حكومية,لا,ثالثة,تكنولوجيا المعلومات,جيد,عن طريق مواقع التواصل الاجماعي,0,0,0,1,1,0,0,0,0,1,0
70-79,أدبي,حكومي,جيد,أعمال حرة,مُلك خاص,نعم,نعم,اعدادية,بكالوريوس,خاصة,نعم,اولى,آداب,جيد جدا,من اقاربك,0,0,0,1,0,1,0,0,0,0,0
60-69,علمي,حكومي,جيد,أعمال حرة,مُلك خاص,نعم,نعم,بكالوريوس,اعدادية,حكومية,لا,خريج,آداب,جيد,عن طريق البحث عن افضل التخصصات,0,0,1,0,0,1,0,0,0,0,0
70-79,علمي,حكومي,ضعيف,موظف خاص,إيجار,لا,لا,اعدادية,اعدادية,خاصة,لا,اولى,تكنولوجيا المعلومات,جيد,عن طريق مواقع التواصل الاجماعي,1,0,0,0,1,1,0,0,1,0,0
70-79,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,ثالثة,تكنولوجيا المعلومات,ممتاز,من اقاربك,0,0,0,1,0,1,0,1,0,0,0
70-79,علمي,حكومي,جيد جدا,أعمال حرة,مُلك خاص,لا,نعم,بكالوريوس,اعدادية,خاصة,لا,خريج,تكنولوجيا المعلومات,جيد,من اقاربك,0,0,0,1,0,0,0,0,1,1,0
80-89,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,نعم,نعم,بكالوريوس,اعدادية,حكومية,لا,خريج,آداب,جيد,من اقاربك,0,0,0,1,0,1,0,0,0,0,0
80-89,علمي,حكومي,جيد,موظف خاص,إيجار,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,خريج,صيدلة,جيد جدا,من اقاربك,0,0,0,1,1,1,0,0,0,0,0
60-69,علمي,حكومي,جيد جدا,موظف خاص,مُلك خاص,لا,نعم,اعدادية,اعدادية,حكومية,لا,اولى,تخصصات طبية,جيد,من اقاربك,0,0,0,1,1,0,0,0,0,0,0
80-89,علمي,حكومي,جيد,أعمال حرة,إيجار,نعم,نعم,اعدادية,بكالوريوس,خاصة,نعم,اولى,تخصصات طبية,لا يوجد معدل,عن طريق مواقع التواصل الاجماعي,1,0,0,0,1,1,0,0,0,0,0
70-79,علمي,حكومي,جيد,أعمال حرة,مُلك خاص,نعم,لا,يقرأ ويكتب,تقرأ وتكتب,خاصة,لا,خريج,تخصصات طبية,جيد جدا,من اقاربك,0,0,0,1,0,0,0,1,0,0,0
90-99,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,نعم,نعم,بكالوريوس,اعدادية,حكومية,لا,خريج,الهندسة,جيد جدا,عن طريق مواقع التواصل الاجماعي,0,0,0,1,0,0,0,0,0,1,0
70-79,علمي,حكومي,جيد,أعمال حرة,مُلك خاص,لا,نعم,اعدادية,اعدادية,خاصة,لا,اولى,تخصصات طبية,جيد,من اقاربك,0,0,0,1,1,0,0,0,1,0,0
80-89,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,لا,نعم,بكالوريوس,اعدادية,حكومية,نعم,خريج,علوم,جيد جدا,من اقاربك,1,0,0,0,0,0,0,0,1,0,0
90-99,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,حكومية,لا,ثانية,الهندسة,جيد جدا,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,0,0,0,0,1,0
60-69,علمي,حكومي,جيد,موظف حكومي,مُلك خاص,لا,لا,اعدادية,تقرأ وتكتب,خاصة,نعم,خريج,تكنولوجيا المعلومات,مقبول,من اقاربك,0,0,0,1,1,1,0,0,0,1,0
70-79,علمي,خاصة,جيد,أعمال حرة,إيجار,نعم,نعم,بكالوريوس,بكالوريوس,خاصة,لا,ثانية,تكنولوجيا المعلومات,جيد جدا,عن طريق مواقع التواصل الاجماعي,1,0,0,0,0,0,0,0,0,1,0
80-89,علمي,حكومي,جيد,أعمال حرة,مُلك خاص,نعم,لا,اعدادية,اعدادية,خاصة,نعم,رابعة,صيدلة,ممتاز,من اقاربك,0,0,0,1,0,0,1,0,0,0,0
80-89,أدبي,حكومي,جيد,أعمال حرة,مُلك خاص,لا,نعم,اعدادية,اعدادية,خاصة,نعم,ثالثة,آداب,جيد,عن طريق البحث عن افضل التخصصات,0,0,1,0,1,0,0,0,0,0,0
70-79,أدبي,حكومي,جيد,أعمال حرة,مُلك خاص,نعم,نعم,اعدادية,اعدادية,خاصة,لا,ثانية,أعمال,ممتاز,عن طريق مواقع التواصل الاجماعي,1,0,0,0,0,1,1,0,0,0,0
60-69,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,لا,نعم,بكالوريوس,بكالوريوس,خاصة,لا,ثالثة,صيدلة,جيد جدا,من اقاربك,0,0,0,1,0,1,1,0,0,1,0
70-79,أدبي,خاصة,جيد,أعمال حرة,مُلك خاص,لا,نعم,اعدادية,اعدادية,خاصة,لا,رابعة,آداب,جيد جدا,عن طريق مواقع التواصل الاجماعي,1,0,0,0,0,0,0,0,0,1,0
90-99,علمي,حكومي,جيد جدا,موظف حكومي,مُلك خاص,لا,نعم,بكالوريوس,اعدادية,حكومية,لا,ثالثة,تكنولوجيا المعلومات,ممتاز,من اقاربك,0,0,0,1,0,0,0,0,1,0,0
60-69,أدبي,حكومي,ضعيف,موظف حكومي,إيجار,لا,نعم,بكالوريوس,اعدادية,حكومية,نعم,ثانية,آداب,جيد,من اقاربك,1,1,0,0,0,1,1,0,0,0,0
70-79,أدبي,حكومي,جيد جدا,أعمال حرة,مُلك خاص,نعم,نعم,بكالوريوس,بكالوريوس,حكومية,نعم,ثالثة,حقوق,جيد,من صديق,0,0,0,1,1,1,1,1,0,0,0
70-79,علمي,خاصة,جيد,موظف حكومي,مُلك خاص,نعم,نعم,يقرأ ويكتب,تقرأ وتكتب,خاصة,لا,خريج,تكنولوجيا المعلومات,ممتاز,من صديق,0,0,0,1,1,0,0,1,0,1,0
60-69,علمي,خاصة,جيد,موظف حكومي,مُلك خاص,لا,نعم,بكالوريوس,بكالوريوس,خاصة,نعم,خريج,تكنولوجيا المعلومات,ممتاز,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,0,0,1,0,1,0
70-79,تكنولوجيا المعلومات,حكومي,جيد,موظف خاص,إيجار,لا,نعم,بكالوريوس,بكالوريوس,خاصة,لا,خريج,تكنولوجيا المعلومات,جيد جدا,عن طريق البحث عن افضل التخصصات,0,0,0,1,1,1,0,0,1,1,0
